,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
67,It's Only Make Believe,Glen Campbell,Song,Song,I SAW THE LIGHT,Todd Rundgren,Don't Expect Me To Be Your Friend,Lobo,I'll Have To Say I Love You In A Song,Jim Croce,Can't Get It Out Of My Head,Electric Light Orchestra,Still The One,Orleans,Love So Right,Bee Gees,Don't Let Me Be Misunderstood,Santa Esmeralda,I Was Made For Lovin' You,KISS,Stand By Me,Mickey Gilley,Same Old Lang Syne,Dan Fogelberg,Yesterday's Songs,Neil Diamond,Steppin' Out,Joe Jackson,Holiday,Madonna,No More Lonely Nights,Paul McCartney,Baby Love,Regina,The Finer Things,Steve Winwood,Fast Car,Tracy Chapman,Roni,Bobby Brown,Epic,Faith No More,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,"Sugar, We're Goin' Down",Fall Out Boy,Like A Boy,Ciara,Put On,Young Jeezy Featuring Kanye West,Fallin' For You,Colbie Caillat,Deuces,Chris Brown Featuring Tyga & Kevin McCall,We Found Love,Rihanna Featuring Calvin Harris,Ho Hey,The Lumineers,Catch My Breath,Kelly Clarkson,Bottoms Up,Brantley Gilbert,Chains,Nick Jonas,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Goosebumps,Travis Scott,One Kiss,Calvin Harris & Dua Lipa,Act Up,City Girls
68,Call Me,Aretha Franklin,Song,Song,Motorcycle Mama,Sailcat,Break Up To Make Up,The Stylistics,The Lord's Prayer,Sister Janet Mead,Sha-la-la (makes Me Happy),Al Green,You're My Best Friend,Queen,I Never Cry,Alice Cooper,Bluer Than Blue,Michael Johnson,I Just Wanna Stop,Gino Vannelli,Heartbreaker,Pat Benatar,Cool Love,Pablo Cruise,Crimson And Clover,Joan Jett & the Blackhearts,Take Me To Heart,Quarterflash,Nobody Told Me,John Lennon,I Can't Hold Back,Survivor,Election Day,Arcadia,Let Me Be The One,Expose,Electric Blue,Icehouse,Love In An Elevator,Aerosmith,Love Takes Time,Mariah Carey,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Gimme That,Chris Brown Featuring Lil Wayne,Who Knew,P!nk,The Time Of My Life,David Cook,Untouched,The Veronicas,3,Britney Spears,Pretty Girl Rock,Keri Hilson,Paradise,Coldplay,Crash My Party,Luke Bryan,Shower,Becky G,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,Down In The DM,Yo Gotti Featuring Nicki Minaj,Cold,Maroon 5 Featuring Future,Natural,Imagine Dragons,I Like It,"Cardi B, Bad Bunny & J Balvin"
69,Song,Song,Song,Song,Day By Day,Godspell,Daisy A Day,Jud Strunk,Trying To Hold On To My Woman,Lamont Dozier,Lonely People,America,With Your Love,Jefferson Starship,Nobody Does It Better,Carly Simon,Running On Empty,Jackson Browne,Ooh Baby Baby,Linda Ronstadt,Drivin' My Life Away,Eddie Rabbitt,Hold On Tight,Electric Light Orchestra,Every Little Thing She Does Is Magic,The Police,(she's) Sexy + 17,Stray Cats,Church Of The Poison Mind,Culture Club,Freedom,Wham!,Nikita,Elton John,Is This Love,Survivor,The Valley Road,Bruce Hornsby & The Range,Lay Your Hands On Me,Bon Jovi,Just Like Jesse James,Cher,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Never Again,Kelly Clarkson,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",If Today Was Your Last Day,Nickelback,Impossible,Shontelle,You And I,Lady Gaga,Blown Away,Carrie Underwood,Pour It Up,Rihanna,Me And My Broken Heart,Rixton,No Type,Rae Sremmurd,Luv,Tory Lanez,Broccoli,D.R.A.M. Featuring Lil Yachty,You Make It Easy,Jason Aldean,Trampoline,SHAED
70,Song,Song,Song,Song,Roundabout,Yes,Also Sprach Zarathustra (2001),Deodato,A Very Special Love Song,Charlie Rich,Rockford Files,Mike Post,Slow Ride,Foghat,High School Dance,The Sylvers,Get Off,Foxy,September,"Earth, Wind & Fire",Take The Long Way Home,Supertramp,It's Now Or Never,John Schneider,Here I Am,Air Supply,Try Again,Champaign,Think Of Laura,Christopher Cross,Too Late For Goodbyes,Julian Lennon,Take Me Home,Phil Collins,Diamonds,Herb Alpert,Don't Be Cruel,Bobby Brown,The Promise,When In Rome,All Or Nothing,Milli Vanilli,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Who Says You Can't Go Home,Bon Jovi,Promise,Ciara,Cyclone,Baby Bash Featuring T-Pain,Throw It In The Bag,Fabolous Featuring The-Dream,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",Like A G6,Far*East Movement Featuring Cataracs & Dev,Rolling In The Deep,Adele,22,Taylor Swift,Animals,Martin Garrix,Riptide,Vance Joy,Sorry,Beyonce,Slide,Calvin Harris Featuring Frank Ocean & Migos,Shape Of You,Ed Sheeran,Leave Me Alone,Flipp Dinero
71,Song,Song,Song,Song,Doctor My Eyes,Jackson Browne,Stir It Up,Johnny Nash,My Girl Bill,Jim Stafford,It Only Takes A Minute,Tavares,Who'd She Coo?,Ohio Players,Love's Grown Deep,Kenny Nolan,Life's Been Good,Joe Walsh,Time Passages,Al Stewart,Sara,Fleetwood Mac,Treat Me Right,Pat Benatar,I Keep Forgettin' (every Time You're Near),Michael McDonald,Dead Giveaway,Shalamar,Time Will Reveal,Debarge,Valotte,Julian Lennon,Walk This Way,Run-D.M.C.,Point Of No Return,Expose,Piano In The Dark,Brenda Russell Featuring Joe Esposito,What I Am,Edie Brickell & New Bohemians,Romeo,Dino,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Too Little Too Late,JoJo,Bed,J. Holiday,Love Like This,Natasha Bedingfield Featuring Sean Kingston,Love Drunk,Boys Like Girls,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,Without You,David Guetta Featuring Usher,Climax,Usher,I Want Crazy,Hunter Hayes,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,Classic Man,Jidenna Featuring Roman GianArthur,Can't Feel My Face,The Weeknd,What Ifs,Kane Brown Featuring Lauren Alaina,I Get The Bag,Gucci Mane Featuring Migos,Breathin,Ariana Grande
72,Song,Song,Song,Song,Baby Let Me Take You (In My Arms),Detroit Emeralds,Money,Pink Floyd,Helen Wheels,Paul McCartney And Wings,No No Song/snookeroo,Ringo Starr,The Boys Are Back In Town,Thin Lizzy,Ain't Gonna Bump No More (with No Big Fat Woman),Joe Tex,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,Rise,Herb Alpert,Jo Jo,Boz Scaggs,Winning,Santana,Get Down On It,Kool & The Gang,Lawyers In Love,Jackson Browne,Wrapped Around Your Finger,The Police,Some Like It Hot,The Power Station,Sweet Love,Anita Baker,Big Love,Fleetwood Mac,When It's Love,Van Halen,I Remember Holding You,Boys Club,Everybody Everybody,Black Box,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Touch It,Busta Rhymes,Throw Some D's,Rich Boy Featuring Polow Da Don,Burnin' Up,Jonas Brothers,I Love College,Asher Roth,My First Kiss,3OH!3 Featuring Ke$ha,Back To December,Taylor Swift,"Work Hard, Play Hard",Wiz Khalifa,The Fox,Ylvis,American Kids,Kenny Chesney,Ex's & Oh's,Elle King,Hymn For The Weekend,Coldplay,Chained To The Rhythm,Katy Perry Featuring Skip Marley,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",Bury A Friend,Billie Eilish
73,Song,Song,Song,Song,Speak To The Sky,Rick Springfield,Gypsy Man,War,My Mistake Was To Love You,Diana Ross And Marvin Gaye,Bungle In The Jungle,Jethro Tull,Walk Away From Love,David Ruffin,I Wanna Get Next To You,Rose Royce,It's So Easy,Linda Ronstadt,Don't Bring Me Down,Electric Light Orchestra,September Morn',Neil Diamond,What Kind Of Fool,Barbra Streisand & Barry Gibb,Any Day Now,Ronnie Milsap,What About Me,Moving Pictures,Round And Round,Ratt,Solid,Ashford & Simpson,Your Wildest Dreams,The Moody Blues,Midnight Blue,Lou Gramm,Don't Shed A Tear,Paul Carrack,Paradise City,Guns N' Roses,I Go To Extremes,Billy Joel,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rompe,Daddy Yankee,Rehab,Amy Winehouse,Love Lockdown,Kanye West,If U Seek Amy,Britney Spears,Already Gone,Kelly Clarkson,Teenage Dream,Katy Perry,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Best Song Ever,One Direction,Brave,Sara Bareilles,Dear Future Husband,Meghan Trainor,Say It,Tory Lanez,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Plain Jane,A$AP Ferg Featuring Nicki Minaj,Close Friends,Lil Baby
74,Song,Song,Song,Song,Song,Song,The World Is A Ghetto,War,Wildwood Weed,Jim Stafford,Long Tall Glasses (I Can Dance),Leo Sayer,Baby I Love Your Way,Peter Frampton,Somebody To Love,Queen,Native New Yorker,Odyssey,Promises,Eric Clapton,Give Me The Night,George Benson,WATCHING THE WHEELS,John Lennon,Make A Move On Me,Olivia Newton-John,Human Nature,Michael Jackson,Head Over Heels,Go-Go's,Angel,Madonna,Spies Like Us,Paul McCartney,Something So Strong,Crowded House,We'll Be Together,Sting,I Wanna Have Some Fun,Samantha Fox,Whip Appeal,Babyface,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Deja Vu,Beyonce Featuring Jay Z,Big Things Poppin' (Do It),T.I.,I Luv Your Girl,The-Dream,Big Green Tractor,Jason Aldean,Rock That Body,The Black Eyed Peas,Crazy Girl,Eli Young Band,Pound The Alarm,Nicki Minaj,The A Team,Ed Sheeran,Sweater Weather,The Neighbourhood,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,Antidote,Travis Scott,All Time Low,Jon Bellion,Sky Walker,Miguel Featuring Travis Scott,Baby Shark,Pinkfong
75,Song,Song,Song,Song,Song,Song,Yes We Can Can,The Pointer Sisters,Beach Baby,First Class,Misty,Ray Stevens,Young Hearts Run Free,Candi Staton,Muskrat Love,Captain & Tennille,Flashlight,Parliament,Get Used To It,Roger Voudoris,Broken Hearted Me,Anne Murray,Tell It Like It Is,Heart,Take My Heart,Kool & The Gang,Photograph,Def Leppard,The Longest Time,Billy Joel,I'm On Fire,Bruce Springsteen,Object Of My Desire,Starpoint,Heat Of The Night,Bryan Adams,I Hate Myself For Loving You,Joan Jett & the Blackhearts,She Wants To Dance With Me,Rick Astley,Oh Girl,Paul Young,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,Life Is A Highway,Rascal Flatts,No One,Alicia Keys,Crush,David Archuleta,White Horse,Taylor Swift,Secrets,OneRepublic,Cheers (Drink To That),Rihanna,Come Over,Kenny Chesney,Carry On,fun.,Leave The Night On,Sam Hunt,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Lost Boy,Ruth B,Hurricane,Luke Combs,Marry Me,Thomas Rhett,My Type,Saweetie
76,Song,Song,Song,Song,Song,Song,FREE RIDE,Edgar Winter Group,Me And Baby Brother,War,Someone Saved My Life Tonight,Elton John,Breaking Up Is Hard To Do,Neil Sedaka,Walk This Way,Aerosmith,Don't Look Back,Boston,How Much I Feel,Ambrosia,You Decorated My Life,Kenny Rogers,Smokey Mountain Rain,Ronnie Milsap,Mirror Mirror,Diana Ross,Pass The Dutchie,Musical Youth,Tonight,Kool & The Gang,Who's Holding Donna Now,Debarge,Dreamtime,Daryl Hall,Nothing's Gonna Change My Love For You,Glenn Medeiros,I Don't Want To Live Without You,Foreigner,Dreamin',Vanessa Williams,(It's Just) The Way That You Love Me,Paula Abdul,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,Call Me When You're Sober,Evanescence,The Great Escape,Boys Like Girls,Hypnotized,Plies Featuring Akon,Disturbia,Rihanna,Naturally,Selena Gomez & The Scene,Who Says,Selena Gomez & The Scene,Heart Attack,Trey Songz,Highway Don't Care,Tim McGraw With Taylor Swift,New Flame,Chris Brown Featuring Usher & Rick Ross,Habits (Stay High),Tove Lo,Side To Side,Ariana Grande Featuring Nicki Minaj,Too Good At Goodbyes,Sam Smith,Eastside,"benny blanco, Halsey & Khalid",Worth It,YK Osiris
77,Song,Song,Song,Song,Song,Song,Space Oddity,David Bowie,Rockin' Roll Baby,The Stylistics,Bad Blood,Neil Sedaka,Money Honey,Bay City Rollers,Year Of The Cat,Al Stewart,Turn To Stone,Electric Light Orchestra,Suspicions,Eddie Rabbitt,TUSK,Fleetwood Mac,I Made It Through The Rain,Barry Manilow,Vacation,Go-Go's,True,Spandau Ballet,Got A Hold On Me,Christine McVie,What About Love,Heart,Tender Love,Force M.D.'s,Brilliant Disguise,Bruce Springsteen,Nite And Day,Al B. Sure!,It's No Crime,Babyface,We Can't Go Wrong,The Cover Girls,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,"Jesus, Take The Wheel",Carrie Underwood,2 Step,Unk,Big Girls Don't Cry,Fergie,21 Guns,Green Day,Un-Thinkable (I'm Ready),Alicia Keys,Barefoot Blue Jean Night,Jake Owen,Drank In My Cup,Kirko Bangz,That's My Kind Of Night,Luke Bryan,Love Never Felt So Good,Michael Jackson & Justin Timberlake,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,"Sit Still, Look Pretty",Daya,Young Dumb & Broke,Khalid,Call Out My Name,The Weeknd,Only Human,Jonas Brothers
78,Song,Song,Song,Song,Song,Song,It Never Rains In Southern California,Albert Hammond,I Honestly Love You,Olivia Newton-John,Only Yesterday,Carpenters,Tear The Roof Off The Sucker,Parliament,Boogie Nights,Heatwave,I Can't Stand The Rain,Eruption,You Take My Breath Away,Rex Smith,I Wanna Be Your Lover,Prince,Suddenly,Olivia Newton-John And Cliff Richard,Oh Pretty Woman,Van Halen,Far From Over,Frank Stallone,Dancing In The Sheets,Shalamar,California Girls,David Lee Roth,King For A Day,Thompson Twins,Just To See Her,Smokey Robinson,Don't You Know What The Night Can Do?,Steve Winwood,Poison,Alice Cooper,When I'm Back On My Feet Again,Michael Bolton,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Show Stopper,Danity Kane,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,Good Life,Kanye West Featuring T-Pain,Turn My Swag On,Soulja Boy Tell'em,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",Knee Deep,Zac Brown Band Featuring Jimmy Buffett,Birthday Cake,Rihanna Featuring Chris Brown,Swimming Pools (Drank),Kendrick Lamar,Drunk On A Plane,Dierks Bentley,CoCo,O.T. Genasis,Wildest Dreams,Taylor Swift,Magnolia,Playboi Carti,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",Knockin' Boots,Luke Bryan
79,Song,Song,Song,Song,Song,Song,The Twelfth Of Never,Donny Osmond,Call On Me,Chicago,Only You,Ringo Starr,Junk Food Junkie,Larry Groce,Go Your Own Way,Fleetwood Mac,Ebony Eyes,Bob Welch,How You Gonna See Me Now,Alice Cooper,In America,The Charlie Daniels Band,For Your Eyes Only,Sheena Easton,Should I Do It,The Pointer Sisters,"It Might Be You (Theme From ""Tootsie"")",Stephen Bishop,UNDERCOVER OF THE NIGHT,The Rolling Stones,Fresh,Kool & The Gang,Love Will Conquer All,Lionel Richie,Who Will You Run To,Heart,One Moment In Time,Whitney Houston,THIS TIME I KNOW IT's FOR REAL,Donna Summer,Make You Sweat,Keith Sweat,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Get Up,Ciara Featuring Chamillionaire,Go Getta,Young Jeezy Featuring R. Kelly,Womanizer,Britney Spears,Rockin' That Thang,The-Dream,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",Country Girl (Shake It For Me),Luke Bryan,So Good,B.o.B,Sure Be Cool If You Did,Blake Shelton,Birthday,Katy Perry,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",Middle,DJ Snake Featuring Bipolar Sunshine,Love Galore,SZA Featuring Travis Scott,Happier,Marshmello & Bastille,Trip,Ella Mai
80,Song,Song,Song,Song,Song,Song,Song,Song,Wild Thing,Fancy,Third Rate Romance,Amazing Rhythm Aces,Tryin' To Get The Feeling Again,Barry Manilow,Sorry Seems To Be The Hardest Word,Elton John,The Name Of The Game,ABBA,Double Vision,Foreigner,Breakdown Dead Ahead,Boz Scaggs,The Beach Boys Medley,The Beach Boys,Hot In The City,Billy Idol,"Tonight, I Celebrate My Love",Peabo Bryson & Roberta Flack,On The Dark Side,John Cafferty & The Beaver Brown Band,Do What You Do,Jermaine Jackson,A Different Corner,George Michael,Respect Yourself,Bruce Willis,Can't Stay Away From You,Gloria Estefan & Miami Sound Machine,Smooth Criminal,Michael Jackson,This One's For The Children,New Kids On The Block,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,We Be Burnin',Sean Paul,Here (In Your Arms),Hellogoodbye,Love Story,Taylor Swift,Chicken Fried,Zac Brown Band,Stuck Like Glue,Sugarland,Remind Me,Brad Paisley Duet With Carrie Underwood,50 Ways To Say Goodbye,Train,#Beautiful,Mariah Carey Featuring Miguel,Bartender,Lady Antebellum,Lay Me Down,Sam Smith,On My Mind,Ellie Goulding,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Rumor,Lee Brice
81,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,Rock And Roll All Night (Live Version),KISS,Don't Worry Baby,B.J. Thomas,We're All Alone,Rita Coolidge,Somewhere In The Night,Barry Manilow,Ships,Barry Manilow,Whip It,Devo,Kids In America,Kim Wilde,Breaking Us In Two,Joe Jackson,New Moon On Monday,Duran Duran,Jungle Love,The Time,I'll Be Over You,Toto,Victory,Kool & The Gang,Kissing A Fool,George Michael,Rock Wit'cha,Bobby Brown,What It Takes,Aerosmith,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,Hate Me,Blue October,On The Hotline,Pretty Ricky,Just Fine,Mary J. Blige,Diva,Beyonce,Hey Daddy (Daddy's Home),Usher Featuring Plies,In The Dark,Dev,Red Solo Cup,Toby Keith,Troublemaker,Olly Murs Featuring Flo Rida,La La La,Naughty Boy Featuring Sam Smith,Tuesday,I LOVE MAKONNEN Featuring Drake,Pop Style,Drake Featuring The Throne,Starving,Hailee Steinfeld & Grey Featuring Zedd,Simple,Florida Georgia Line,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
